value
0
5.836838071622291e-4
5.153220303731203e-4
4.633902614418323e-4
4.237469453558752e-4
3.9330217551310524e-4
3.6973856056728887e-4
3.5133355630611847e-4
3.367920238536242e-4
3.2514870074447453e-4
3.156798095473594e-4
3.078447505954259e-4
3.0123839541533644e-4
2.9555808697650805e-4
2.905769223307186e-4
2.861252736891468e-4
2.8207606011065867e-4
2.7833421495116785e-4
2.748284002688983e-4
2.715054908174865e-4
2.6832548130369203e-4
2.6525836440180646e-4
2.622817840125802e-4
2.5937891980848567e-4
2.565371685734402e-4
2.5374706434662907e-4
2.510014997607925e-4
2.482951284460914e-4
2.45623912706475e-4
2.4298482340265326e-4
2.4037554830323195e-4
2.3779431443174057e-4
2.3523981433206873e-4
2.3271097124971142e-4
2.3020702904599268e-4
2.2772734952376632e-4
2.252714280580187e-4
2.2283884929436872e-4
2.204292860549309e-4
2.1804245900850817e-4
2.1567812718195287e-4
2.1333607929037435e-4
2.1101612551291393e-4
2.0871809177915208e-4
2.064418155723266e-4
2.0418714274626944e-4
2.0195392515983887e-4
1.9974201892355298e-4
1.9755128309933978e-4
1.9538157874018566e-4
1.9323276818461292e-4
1.911047145414218e-4
1.8899728131678735e-4
1.8691033214764986e-4
1.8484373061445833e-4
1.8279734011310798e-4
1.8077102377086172e-4
1.7876464439502138e-4
1.767780644458209e-4
1.7481114602716473e-4
1.728637495048667e-4
1.7093574324380384e-4
1.690269842678331e-4
1.6713732442373216e-4
1.65266632724443e-4
1.634147692422018e-4
1.6158159328700378e-4
1.5976696478677e-4
1.5797074354030952e-4
1.5619278924610888e-4
1.5443296153497613e-4
1.5269112000414892e-4
1.5096712424943898e-4
1.4926083389768877e-4
1.4757210864100104e-4
1.4590080826313093e-4
1.4424679267038484e-4
1.4260992192227304e-4
1.4099005625909516e-4
1.3938705612969587e-4
1.3780078221837036e-4
1.3623109547086093e-4
1.3467785711965274e-4
1.3314092870850974e-4
1.316201721161779e-4
1.301154495794328e-4
1.2862662371532566e-4
1.27153557542746e-4
1.256961145031897e-4
1.2425415848091315e-4
1.22827553822185e-4
1.2141616535507604e-4
1.2001985840611948e-4
1.1863849881826524e-4
1.1727195296799484e-4
1.1592008778154445e-4
1.1458277075023643e-4
