t,prev
0,0
1,0
2,0
3,4e-7
4,2.24e-6
5,4.08e-6
6,6.16e-6
7,8.8e-6
8,1.072e-5
9,1.232e-5
10,1.312e-5
11,1.496e-5
12,1.792e-5
13,2.072e-5
14,2.296e-5
15,2.52e-5
16,2.872e-5
17,3.048e-5
18,3.304e-5
19,3.584e-5
20,3.816e-5
21,4e-5
22,4.304e-5
23,4.712e-5
24,5.048e-5
25,5.624e-5
26,6.048e-5
27,6.52e-5
28,7.136e-5
29,7.744e-5
30,8.592e-5
31,9.36e-5
32,1.0184e-4
33,1.1208e-4
34,1.2352e-4
35,1.3752e-4
36,1.4856e-4
37,1.6184e-4
38,1.7696e-4
39,1.8832e-4
40,2.016e-4
41,2.1864e-4
42,2.3688e-4
43,2.604e-4
44,2.8624e-4
45,3.1432e-4
46,3.4368e-4
47,3.7544e-4
48,4.1248e-4
49,4.5024e-4
50,4.9216e-4
51,5.3648e-4
52,5.848e-4
53,6.3592e-4
54,6.8856e-4
55,7.4504e-4
56,8.196e-4
57,8.9736e-4
58,9.7984e-4
59,0.0010624
60,0.00115488
61,0.00126352
62,0.0013792
63,0.0015084
64,0.00164272
65,0.00178832
66,0.00194088
67,0.0021056
68,0.00229104
69,0.00249864
70,0.002714
71,0.00296632
72,0.00323672
73,0.00352304
74,0.0038372
75,0.00418344
76,0.00456648
77,0.00495608
78,0.00540176
79,0.005868
80,0.0063152
81,0.00678656
82,0.00720168
83,0.00758616
84,0.0079004
85,0.00811224
86,0.00822184
87,0.00824112
88,0.00815688
89,0.0080092
90,0.0078004
91,0.00755712
92,0.00727784
93,0.00700512
94,0.00671176
95,0.00644776
96,0.00620512
97,0.00601104
98,0.00583528
99,0.00570408
100,0.00559168
101,0.00549408
102,0.00541888
103,0.00536528
104,0.0053164
105,0.00526592
106,0.00522576
107,0.00518752
108,0.00513384
109,0.00508848
110,0.00503288
111,0.00497752
112,0.00489888
113,0.00483152
114,0.0047724
115,0.00471904
116,0.004662
117,0.00459976
118,0.0045344
119,0.00448512
120,0.00444296
121,0.0043864
122,0.00434224
123,0.0042892
124,0.00424104
125,0.00420184
126,0.0041408
127,0.00408528
128,0.00403544
129,0.00399832
130,0.00394704
131,0.00389552
132,0.00385232
133,0.00379384
134,0.00374744
135,0.00369728
136,0.00364344
137,0.00358064
138,0.00354344
139,0.0035032
140,0.00345808
141,0.00340816
142,0.00336576
143,0.00332064
144,0.00327088
145,0.00322504
146,0.003184
147,0.00313424
148,0.00310224
149,0.00306968
150,0.00305184
151,0.0030476
152,0.00306176
153,0.00309704
154,0.00315376
155,0.00325416
156,0.00336848
157,0.0035064
158,0.00365904
159,0.00383296
160,0.0040216
161,0.00421856
162,0.00442048
163,0.0046296
164,0.00483864
165,0.00504792
166,0.00525984
167,0.0054612
168,0.0056652
169,0.00586312
170,0.00605784
171,0.0062572
172,0.00646608
173,0.0066612
174,0.00687168
175,0.00708864
176,0.00732136
177,0.00755856
178,0.007796
179,0.00807096
180,0.00833888
181,0.0086092
182,0.0088732
183,0.00916
184,0.00945896
185,0.009774
186,0.01009568
187,0.01043976
188,0.01077456
189,0.01111848
190,0.01149144
191,0.0118468
192,0.01222048
193,0.01261696
194,0.01299896
195,0.0134192
196,0.01383816
197,0.01423368
198,0.01467776
199,0.01511048
200,0.01554184
